r1,bridge,r2
P452,Q6554101,P452
P452,Q6608318,P452
P452,Q66221,P452
P452,Q697852,P452
P452,Q7108,P452
P452,Q7397,P452
P452,Q75,P452
P452,Q7590,P452
P452,Q778575,P452
P452,Q806718,P452
P452,Q811530,P452
P452,Q8148,P452
P452,Q837171,P452
P452,Q862571,P452
P452,Q868404,P452
P452,Q873442,P452
P452,Q880371,P452
P452,Q907703,P452
P452,Q9323634,P452
P452,Q941594,P452
P463,Q4905444,P361
P463,Q1008895,P463
P463,Q105272307,P463
P463,Q111164948,P463
P463,Q1203027,P463
P463,Q1361045,P463
P463,Q1454899,P463
P463,Q15614763,P463
P463,Q15731702,P463
P463,Q1663561,P463
P463,Q1663567,P463
P463,Q16725802,P463
P463,Q16848217,P463
P463,Q16974387,P463
P463,Q19787650,P463
P463,Q20714602,P463
P463,Q20947086,P463
P463,Q2513750,P463
P463,Q28444691,P463
P463,Q2934750,P463
P463,Q2985457,P463
P463,Q3616482,P463
P463,Q37033,P463
P463,Q38620786,P463
P463,Q463681,P463
P463,Q492705,P463
P463,Q537395,P463
P463,Q55524865,P463
P463,Q60535625,P463
P463,Q616953,P463
P463,Q63256596,P463
P463,Q67904121,P463
P463,Q7389502,P463
P463,Q75097496,P463
P463,Q79100838,P463
P463,Q80653810,P463
P463,Q80655185,P463
P463,Q80656429,P463
P463,Q852297,P463
P463,Q858851,P463
P6379,Q1192305,P6379
P6379,Q1809071,P6379
P6379,Q188740,P6379
P6379,Q674449,P6379
P6379,Q98893863,P6379
P6379,Q99349561,P6379
P6379,Q99349995,P6379
P740,Q100,P159
P740,Q1082801,P159
P740,Q12439,P159
P740,Q1297,P159
P740,Q1342,P159
P740,Q138338,P159
P740,Q138367,P159
P740,Q1531184,P159
P740,Q159260,P159
P740,Q16552,P159
P740,Q16553,P159
P740,Q16554,P159
P740,Q16555,P159
P740,Q16557,P159
P740,Q16558,P159
P740,Q16565,P159
P740,Q208447,P159
P740,Q208459,P159
P740,Q2132317,P159
P740,Q23556,P159
P740,Q23768,P159
P740,Q28848,P159
P740,Q30,P159
P740,Q302894,P159
P740,Q30985,P159
P740,Q34144,P159
P740,Q36091,P159
P740,Q37320,P159
P740,Q37836,P159
P740,Q39561,P159
P740,Q40435,P159
P740,Q430464,P159
P740,Q43199,P159
P740,Q43421,P159
P740,Q47265,P159
P740,Q49111,P159
P740,Q49169,P159
P740,Q49172,P159
P740,Q49225,P159
P740,Q49231,P159
P740,Q5083,P159
P740,Q509115,P159
P740,Q5112,P159
P740,Q584451,P159
P740,Q590191,P159
P740,Q60,P159
P740,Q62,P159
P740,Q65,P159
P740,Q84,P159
P740,Q8652,P159
P740,Q936768,P159
P740,Q968021,P159
P740,Q9832,P159
P740,Q992560,P159
P740,Q993483,P159
P740,Q30,P495
P740,Q12439,P740
P740,Q1297,P740
P740,Q16557,P740
P740,Q23556,P740
P740,Q36091,P740
P740,Q37320,P740
P740,Q47265,P740
P740,Q5083,P740
P740,Q60,P740
P740,Q62,P740
P749,Q1516562,P127
P749,Q217583,P127
P749,Q38928,P127
P749,Q4033665,P127
P749,Q4742937,P127
P749,Q58024,P127
P749,Q895325,P127
P749,Q9396,P127
P793,Q1186164,P793
